Country,capital_lat,capital_long,Population,GDPPerCapita,HappinessRank,HappinessScore,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,HealthLifeExpectancy,Freedom,Generosity,TrustGovernmentCorruption,DystopiaResidual,WikepediaPage
Costa_Rica,9.933333333,-84.083333,4949954,11752.5436,12,7.079,7.16811167,6.98988833,1.10970628,1.41640365,0.75950927,0.58013165,0.21461323,0.10010659,2.898639202,https://en.wikipedia.org/wiki/Costa_Rica
Croatia,45.8,16,4124531,13383.6835,77,5.29300022,5.3917772,5.19422324,1.22255623,0.96798301,0.70128852,0.25577229,0.24800298,0.04310311,1.854492426,https://en.wikipedia.org/wiki/Croatia
Cyprus,35.16666667,33.366667,1179680,25760.7627,65,5.62099981,5.7146927,5.52730693,1.35593808,1.13136327,0.8447147,0.35511154,0.2712543,0.04123798,1.621249199,https://en.wikipedia.org/wiki/Cyprus
Czech_Republic,50.08333333,14.466667,10580000,20379.896,23,6.60900021,6.68386246,6.53413795,1.35268235,1.43388522,0.754444,0.49094617,0.08810676,0.03687293,2.451861858,https://en.wikipedia.org/wiki/Czech_Republic
Denmark,55.66666667,12.583333,5764980,57218.8549,2,7.52199984,7.58172806,7.46227161,1.48238301,1.55112159,0.79256552,0.62600672,0.35528049,0.40077007,2.313707352,https://en.wikipedia.org/wiki/Denmark
Dominican_Republic,18.46666667,-69.9,10513131,7222.55404,86,5.23000002,5.34906089,5.11093915,1.07937384,1.40241671,0.57487375,0.55258983,0.18696785,0.11394525,1.31946516,https://en.wikipedia.org/wiki/Dominican_Republic
Ecuador,-0.216666667,-78.5,16785361,6213.50128,44,6.0079999,6.10584768,5.91015212,1.0008204,1.28616881,0.68563622,0.4551982,0.15011247,0.14013465,2.290352583,https://en.wikipedia.org/wiki/Ecuador
Egypt,30.05,31.25,96442593,2440.51017,104,4.73500013,4.82513379,4.64486648,0.98970181,0.99747139,0.52018726,0.28211015,0.12863144,0.11438137,1.702161074,https://en.wikipedia.org/wiki/Egypt
El_Salvador,13.7,-89.2,6388122,3902.23762,45,6.00299978,6.10863512,5.89736444,0.9097845,1.18212509,0.59601855,0.43245253,0.07825799,0.08998096,2.714593887,https://en.wikipedia.org/wiki/El_Salvador
Estonia,59.43333333,24.716667,1317384,20200.3756,66,5.61100006,5.68813987,5.53386025,1.32087934,1.4766711,0.69516832,0.47913143,0.09889081,0.18324892,1.357508659,https://en.wikipedia.org/wiki/Estonia
Ethiopia,9.033333333,38.7,106400024,767.59,119,4.46000004,4.54272868,4.3772714,0.33923385,0.8646692,0.35340971,0.40884274,0.31265074,0.16545571,2.015743732,https://en.wikipedia.org/wiki/Ethiopia
Finland,60.16666667,24.933333,5508214,45809.9734,5,7.46899986,7.52754208,7.41045765,1.44357193,1.54024673,0.80915767,0.61795086,0.24548277,0.38261154,2.430181503,https://en.wikipedia.org/wiki/Finland
France,48.86666667,2.333333,66865144,38679.1272,31,6.44199991,6.5157678,6.36823202,1.43092346,1.38777685,0.84446585,0.47022212,0.12976231,0.17250243,2.005954742,https://en.wikipedia.org/wiki/France
Gabon,0.383333333,9.45,2064823,7212.53574,118,4.46500015,4.55736177,4.37263854,1.19821024,1.15562022,0.35657859,0.31232858,0.04378538,0.07604679,1.322916269,https://en.wikipedia.org/wiki/Gabon
Georgia,41.68333333,44.833333,3728004,4045.41705,125,4.28599977,4.37493397,4.19706558,0.95061266,0.57061493,0.64954698,0.30941004,0.05400882,0.25166664,1.500137806,https://en.wikipedia.org/wiki/Georgia_(country)
Germany,52.51666667,13.4,82657002,44681.0826,16,6.95100021,7.00538157,6.89661886,1.48792338,1.47252035,0.79895073,0.56251138,0.33626917,0.27673194,2.015769958,https://en.wikipedia.org/wiki/Germany
Ghana,5.55,-0.216667,29121471,2025.88586,131,4.11999989,4.22270721,4.01729256,0.66722482,0.87366474,0.29563773,0.42302629,0.25692394,0.02533637,1.577867508,https://en.wikipedia.org/wiki/Ghana
Greece,37.98333333,23.733333,10754679,18883.4601,87,5.22700024,5.32524617,5.1287543,1.28948748,1.23941457,0.8101989,0.09573125,0,0.04328978,1.749221563,https://en.wikipedia.org/wiki/Greece
Guatemala,14.61666667,-90.516667,16914936,4470.6108,29,6.454,6.56687397,6.34112602,0.87200195,1.25558519,0.54023999,0.53131062,0.28348839,0.07722328,2.893891096,https://en.wikipedia.org/wiki/Guatemala
Guinea,9.5,-13.7,12067539,821.651461,149,3.50699997,3.58442813,3.42957181,0.24454993,0.79124469,0.19412914,0.34858751,0.26481509,0.11093762,1.552311897,https://en.wikipedia.org/wiki/Guinea
Haiti,18.53333333,-72.333333,10982366,765.613985,145,3.60299993,3.7347148,3.47128505,0.36861026,0.64044982,0.27732113,0.03036986,0.48920378,0.09987215,1.697167635,https://en.wikipedia.org/wiki/Haiti
Honduras,14.1,-87.216667,9429013,2432.93536,91,5.18100023,5.3015828,5.06041767,0.73057312,1.14394498,0.58256948,0.34807986,0.23618887,0.07334545,2.065811157,https://en.wikipedia.org/wiki/Honduras
